temp_pass_rc,passreduction_th_rc_plan,passdiff_width_rc_plan,strength_yp,th_pass_plan,width_pass_rc,rollforce_plan,rollgap_plan,mill_modulus,dna_set,rollforce_rm,th_pass_rc
1225.0,-21.134,232.8,2.0,230.015,2774.8,1067.3,235.23,613.6,3.086,1172.0,230.046
1222.0,-21.127,276.5,1.0,208.872,3051.3,1081.8,213.7,613.7,3.086,1221.8,208.919
1217.0,-21.147,342.6,2.0,187.721,3393.9,1111.5,192.13,613.8,3.086,1267.2,187.772
1212.0,-21.211,416.7,2.0,166.523,3810.6,1169.6,170.47,613.8,3.086,1257.4,166.561
1196.0,-30.083,0.9,2.2,136.559,3811.5,4093.6,136.31,732.7,3.086,4057.0,136.478
1192.0,-26.184,1.7,2.4,110.216,3813.2,4029.4,109.6,732.7,3.086,4155.0,110.294
1152.0,-13.407,0.7,3.2,32.349,3816.1,4961.7,29.18,732.8,3.086,4967.1,32.348
1136.0,-8.951,0.4,3.4,23.328,3816.5,4858.9,20.15,732.9,3.086,5127.3,23.397
1111.0,-5.892,0.2,3.6,17.445,3816.7,4806.3,14.24,732.9,3.086,4991.8,17.505
1073.0,-3.757,0.2,3.8,13.694,3816.9,4704.7,10.56,732.9,3.086,4877.9,13.748
1035.0,-2.521,0.1,4.0,11.228,3817.0,4615.9,8.18,732.9,3.086,4627.9,11.227
987.0,-1.665,0.1,4.2,9.58,3817.1,4276.0,6.96,732.9,3.086,4177.3,9.562
922.0,-1.38,0.0,4.4,8.2,3817.1,5159.7,4.35,732.9,3.086,5096.2,8.182
1220.0,-18.246,208.7,4.8,232.442,2871.7,944.9,237.88,613.7,3.086,1040.0,232.461
1183.0,-24.746,0.0,6.0,95.505,3752.6,4106.0,94.52,730.6,3.086,4084.8,95.426
1175.0,-21.806,1.3,6.2,73.626,3753.9,4243.6,72.09,730.6,3.086,4124.0,73.62
1163.0,-18.412,0.0,6.4,55.224,3753.9,4396.2,53.18,730.7,3.086,4264.7,55.208
